Delivery_person_ID;Weatherconditions;;Rótulos de Linha;Contagem de Delivery_person_ID
AURGRES20DEL03 ;conditions Cloudy;;;
COIMBRES14DEL02 ;conditions Sandstorms;;;
SURRES08DEL03 ;conditions Cloudy;;;
COIMBRES07DEL03 ;conditions Sunny;;;
AGRRES12DEL03 ;conditions Sunny;;;
VADRES02DEL02 ;conditions Fog;;;
JAPRES14DEL01 ;conditions Windy;;;
VADRES04DEL03 ;conditions Cloudy;;;
JAPRES18DEL02 ;conditions Sandstorms;;;
MYSRES04DEL03 ;conditions Sunny;;;
SURRES12DEL01 ;conditions Cloudy;;;
MUMRES04DEL01 ;conditions Sandstorms;;;
PUNERES02DEL01 ;conditions Fog;;;
ALHRES07DEL02 ;conditions Sandstorms;;;
DEHRES19DEL02 ;conditions Stormy;;;
VADRES16DEL02 ;conditions Stormy;;;
VADRES09DEL01 ;conditions Fog;;;
CHENRES12DEL03 ;conditions Cloudy;;;
SURRES11DEL01 ;conditions Sunny;;;
SURRES01DEL01 ;conditions Fog;;;
VADRES15DEL02 ;conditions Sandstorms;;;
MYSRES14DEL02 ;conditions Fog;;;
BANGRES13DEL01 ;conditions NaN;;;
HYDRES13DEL03 ;conditions Fog;;;
BHPRES12DEL02 ;conditions Fog;;;
CHENRES11DEL03 ;conditions Sandstorms;;;
BANGRES010DEL03 ;conditions Fog;;;
VADRES20DEL01 ;conditions Windy;;;
BANGRES11DEL01 ;conditions Cloudy;;;
DEHRES01DEL01 ;conditions Windy;;;
CHENRES02DEL01 ;conditions Cloudy;;;
MUMRES04DEL01 ;conditions Stormy;;;
JAPRES03DEL02 ;conditions Stormy;;;
HYDRES04DEL03 ;conditions Stormy;;;
PUNERES14DEL02 ;conditions Stormy;;;
GOARES04DEL01 ;conditions Windy;;;
AURGRES08DEL02 ;conditions Fog;;;
BANGRES12DEL01 ;conditions Fog;;;
HYDRES05DEL01 ;conditions Stormy;;;
RANCHIRES17DEL01 ;conditions Stormy;;;
AGRRES010DEL01 ;conditions Sandstorms;;;
INDORES12DEL02 ;conditions Cloudy;;;
JAPRES15DEL03 ;conditions Sunny;;;
SURRES16DEL01 ;conditions Stormy;;;
MYSRES16DEL02 ;conditions Sunny;;;
MUMRES05DEL03 ;conditions Sandstorms;;;
COIMBRES19DEL02 ;conditions Fog;;;
MYSRES07DEL01 ;conditions Cloudy;;;
PUNERES17DEL01 ;conditions Windy;;;
HYDRES19DEL03 ;conditions Cloudy;;;
MUMRES14DEL02 ;conditions Windy;;;
COIMBRES02DEL01 ;conditions Stormy;;;
INDORES05DEL02 ;conditions Sandstorms;;;
BANGRES03DEL03 ;conditions Sandstorms;;;
MUMRES11DEL01 ;conditions Cloudy;;;
MYSRES12DEL02 ;conditions Fog;;;
SURRES09DEL02 ;conditions Sandstorms;;;
COIMBRES12DEL02 ;conditions Cloudy;;;
SURRES08DEL01 ;conditions Sunny;;;
KNPRES05DEL02 ;conditions Cloudy;;;
SURRES05DEL02 ;conditions Sunny;;;
MUMRES15DEL01 ;conditions Windy;;;
BANGRES15DEL02 ;conditions Sandstorms;;;
RANCHIRES11DEL03 ;conditions Sunny;;;
MYSRES08DEL01 ;conditions Cloudy;;;
RANCHIRES07DEL02 ;conditions Cloudy;;;
RANCHIRES01DEL03 ;conditions Sandstorms;;;
JAPRES17DEL03 ;conditions Cloudy;;;
VADRES06DEL01 ;conditions NaN;;;
INDORES14DEL01 ;conditions Fog;;;
COIMBRES17DEL01 ;conditions Sunny;;;
CHENRES11DEL01 ;conditions Sandstorms;;;
KNPRES17DEL02 ;conditions Sandstorms;;;
COIMBRES12DEL02 ;conditions Windy;;;
RANCHIRES04DEL01 ;conditions Fog;;;
KOLRES17DEL03 ;conditions Sunny;;;
BANGRES19DEL02 ;conditions Sunny;;;
MUMRES17DEL01 ;conditions Sunny;;;
SURRES14DEL01 ;conditions Fog;;;
VADRES14DEL03 ;conditions Cloudy;;;
PUNERES09DEL02 ;conditions Fog;;;
INDORES19DEL02 ;conditions Cloudy;;;
BANGRES010DEL03 ;conditions Windy;;;
BANGRES12DEL02 ;conditions Fog;;;
VADRES04DEL01 ;conditions Fog;;;
HYDRES14DEL01 ;conditions Sandstorms;;;
BANGRES11DEL03 ;conditions Fog;;;
COIMBRES13DEL03 ;conditions Windy;;;
PUNERES05DEL03 ;conditions Stormy;;;
VADRES20DEL01 ;conditions Fog;;;
CHENRES19DEL01 ;conditions Sandstorms;;;
HYDRES02DEL03 ;conditions Stormy;;;
SURRES010DEL02 ;conditions Sunny;;;
SURRES03DEL01 ;conditions Sandstorms;;;
COIMBRES17DEL03 ;conditions Fog;;;
VADRES08DEL01 ;conditions Cloudy;;;
MUMRES08DEL01 ;conditions Cloudy;;;
VADRES18DEL01 ;conditions Windy;;;
BANGRES04DEL03 ;conditions Sandstorms;;;
RANCHIRES12DEL02 ;conditions Windy;;;
MYSRES13DEL01 ;conditions Cloudy;;;
COIMBRES03DEL02 ;conditions Sandstorms;;;
MYSRES16DEL02 ;conditions Cloudy;;;
KOLRES04DEL03 ;conditions Sandstorms;;;
COIMBRES11DEL01 ;conditions Fog;;;
VADRES13DEL03 ;conditions Sunny;;;
RANCHIRES04DEL02 ;conditions Windy;;;
SURRES01DEL02 ;conditions Fog;;;
INDORES08DEL02 ;conditions Stormy;;;
VADRES18DEL01 ;conditions Fog;;;
HYDRES18DEL03 ;conditions Fog;;;
CHENRES07DEL03 ;conditions Stormy;;;
KOCRES010DEL01 ;conditions Windy;;;
VADRES11DEL02 ;conditions Windy;;;
CHENRES20DEL01 ;conditions Windy;;;
MYSRES04DEL03 ;conditions Windy;;;
MUMRES13DEL01 ;conditions Windy;;;
RANCHIRES03DEL03 ;conditions Stormy;;;
JAPRES08DEL02 ;conditions Sunny;;;
ALHRES12DEL01 ;conditions Fog;;;
RANCHIRES11DEL03 ;conditions Cloudy;;;
HYDRES19DEL02 ;conditions Sandstorms;;;
PUNERES17DEL03 ;conditions Fog;;;
MYSRES010DEL01 ;conditions Windy;;;
JAPRES03DEL01 ;conditions Sandstorms;;;
MUMRES06DEL03 ;conditions Cloudy;;;
MYSRES18DEL01 ;conditions Fog;;;
RANCHIRES18DEL01 ;conditions Fog;;;
INDORES06DEL02 ;conditions Stormy;;;
CHENRES15DEL03 ;conditions Fog;;;
JAPRES07DEL02 ;conditions Sandstorms;;;
SURRES18DEL03 ;conditions Stormy;;;
MYSRES04DEL03 ;conditions Sandstorms;;;
SURRES19DEL01 ;conditions Windy;;;
HYDRES04DEL01 ;conditions Cloudy;;;
KNPRES16DEL03 ;conditions Fog;;;
MYSRES12DEL03 ;conditions Sunny;;;
JAPRES09DEL01 ;conditions Sunny;;;
CHENRES04DEL02 ;conditions Sunny;;;
MYSRES09DEL01 ;conditions Fog;;;
PUNERES19DEL03 ;conditions Fog;;;
KOLRES18DEL03 ;conditions Sunny;;;
BANGRES14DEL03 ;conditions Sandstorms;;;
INDORES09DEL01 ;conditions Stormy;;;
PUNERES09DEL03 ;conditions Cloudy;;;
RANCHIRES01DEL02 ;conditions Sandstorms;;;
LUDHRES010DEL03 ;conditions Windy;;;
MYSRES13DEL02 ;conditions Stormy;;;
JAPRES18DEL02 ;conditions Fog;;;
COIMBRES11DEL02 ;conditions Fog;;;
VADRES13DEL02 ;conditions Stormy;;;
BANGRES01DEL01 ;conditions Fog;;;
MYSRES08DEL01 ;conditions Fog;;;
MYSRES15DEL01 ;conditions Windy;;;
CHENRES02DEL03 ;conditions Windy;;;
HYDRES12DEL01 ;conditions Windy;;;
BANGRES07DEL01 ;conditions Sandstorms;;;
CHENRES09DEL01 ;conditions Fog;;;
BANGRES04DEL02 ;conditions Sunny;;;
VADRES04DEL03 ;conditions Fog;;;
JAPRES13DEL02 ;conditions Windy;;;
ALHRES07DEL03 ;conditions Stormy;;;
JAPRES06DEL03 ;conditions Stormy;;;
KOCRES03DEL01 ;conditions Stormy;;;
BANGRES13DEL01 ;conditions Windy;;;
GOARES02DEL01 ;conditions Sunny;;;
RANCHIRES03DEL02 ;conditions Fog;;;
HYDRES12DEL03 ;conditions Cloudy;;;
JAPRES13DEL03 ;conditions Fog;;;
JAPRES18DEL03 ;conditions Cloudy;;;
VADRES05DEL01 ;conditions Sunny;;;
AURGRES02DEL03 ;conditions Stormy;;;
BANGRES17DEL02 ;conditions Fog;;;
RANCHIRES14DEL01 ;conditions Sandstorms;;;
MUMRES20DEL03 ;conditions Windy;;;
HYDRES14DEL02 ;conditions Windy;;;
KNPRES02DEL02 ;conditions Fog;;;
AURGRES19DEL01 ;conditions Sandstorms;;;
PUNERES18DEL01 ;conditions Sunny;;;
BANGRES08DEL02 ;conditions Fog;;;
KNPRES16DEL01 ;conditions Sunny;;;
BANGRES010DEL02 ;conditions Cloudy;;;
INDORES03DEL02 ;conditions Windy;;;
COIMBRES16DEL02 ;conditions Sunny;;;
HYDRES20DEL01 ;conditions Stormy;;;
AGRRES08DEL03 ;conditions Sunny;;;
COIMBRES15DEL02 ;conditions Sandstorms;;;
ALHRES05DEL01 ;conditions Cloudy;;;
MUMRES01DEL01 ;conditions Sunny;;;
AURGRES14DEL03 ;conditions Windy;;;
MUMRES13DEL01 ;conditions Sandstorms;;;
PUNERES16DEL01 ;conditions NaN;;;
CHENRES14DEL02 ;conditions Stormy;;;
HYDRES06DEL03 ;conditions Stormy;;;
SURRES18DEL03 ;conditions Windy;;;
COIMBRES02DEL01 ;conditions Windy;;;
VADRES13DEL03 ;conditions Sandstorms;;;
COIMBRES16DEL01 ;conditions Fog;;;
INDORES13DEL03 ;conditions Stormy;;;
INDORES12DEL03 ;conditions Windy;;;
MUMRES13DEL03 ;conditions Stormy;;;
CHENRES06DEL02 ;conditions Cloudy;;;
BANGRES06DEL03 ;conditions Sunny;;;
AGRRES11DEL02 ;conditions Fog;;;
KNPRES15DEL02 ;conditions Cloudy;;;
VADRES13DEL01 ;conditions Sunny;;;
VADRES01DEL03 ;conditions Stormy;;;
AGRRES03DEL01 ;conditions Cloudy;;;
KOCRES14DEL01 ;conditions Sandstorms;;;
LUDHRES18DEL01 ;conditions Sunny;;;
COIMBRES14DEL02 ;conditions Fog;;;
CHENRES19DEL01 ;conditions Stormy;;;
COIMBRES15DEL02 ;conditions Fog;;;
SURRES20DEL02 ;conditions Windy;;;
INDORES18DEL02 ;conditions Stormy;;;
AURGRES04DEL02 ;conditions Sandstorms;;;
CHENRES01DEL01 ;conditions Sandstorms;;;
BANGRES010DEL01 ;conditions Stormy;;;
VADRES15DEL03 ;conditions Cloudy;;;
DEHRES010DEL01 ;conditions Cloudy;;;
BANGRES07DEL01 ;conditions Windy;;;
CHENRES05DEL02 ;conditions Fog;;;
JAPRES06DEL03 ;conditions Fog;;;
AGRRES12DEL03 ;conditions Sandstorms;;;
DEHRES12DEL02 ;conditions Cloudy;;;
VADRES01DEL01 ;conditions Stormy;;;
SURRES13DEL02 ;conditions Fog;;;
LUDHRES05DEL03 ;conditions Cloudy;;;
JAPRES16DEL03 ;conditions Sandstorms;;;
PUNERES02DEL03 ;conditions Stormy;;;
COIMBRES14DEL01 ;conditions Cloudy;;;
AGRRES010DEL02 ;conditions Sandstorms;;;
SURRES14DEL03 ;conditions Fog;;;
JAPRES04DEL03 ;conditions Fog;;;
JAPRES01DEL03 ;conditions Sandstorms;;;
HYDRES010DEL02 ;conditions Fog;;;
MYSRES16DEL02 ;conditions Stormy;;;
BANGRES15DEL02 ;conditions Windy;;;
CHENRES15DEL02 ;conditions Sandstorms;;;
MYSRES05DEL02 ;conditions Sandstorms;;;
COIMBRES03DEL03 ;conditions Cloudy;;;
BANGRES01DEL02 ;conditions Sunny;;;
KNPRES12DEL01 ;conditions Windy;;;
MUMRES010DEL01 ;conditions Sunny;;;
COIMBRES20DEL03 ;conditions Stormy;;;
RANCHIRES08DEL01 ;conditions Fog;;;
HYDRES16DEL01 ;conditions Sunny;;;
MUMRES01DEL02 ;conditions Windy;;;
MYSRES08DEL03 ;conditions Windy;;;
AURGRES16DEL03 ;conditions Sunny;;;
VADRES11DEL01 ;conditions Cloudy;;;
MYSRES09DEL02 ;conditions Fog;;;
HYDRES18DEL03 ;conditions Sandstorms;;;
PUNERES05DEL02 ;conditions Sandstorms;;;
MYSRES02DEL03 ;conditions Windy;;;
MYSRES03DEL01 ;conditions Windy;;;
JAPRES16DEL02 ;conditions Stormy;;;
MUMRES010DEL01 ;conditions Cloudy;;;
SURRES15DEL02 ;conditions Windy;;;
INDORES06DEL02 ;conditions Fog;;;
VADRES06DEL01 ;conditions Fog;;;
BANGRES04DEL02 ;conditions Windy;;;
RANCHIRES12DEL02 ;conditions Sandstorms;;;
MUMRES19DEL03 ;conditions Sunny;;;
HYDRES05DEL03 ;conditions Sandstorms;;;
HYDRES010DEL02 ;conditions Stormy;;;
JAPRES07DEL02 ;conditions Windy;;;
AURGRES12DEL02 ;conditions Fog;;;
CHENRES15DEL02 ;conditions Cloudy;;;
MUMRES07DEL03 ;conditions Sandstorms;;;
VADRES12DEL03 ;conditions Fog;;;
JAPRES16DEL01 ;conditions Fog;;;
BANGRES09DEL02 ;conditions Sunny;;;
PUNERES12DEL02 ;conditions Fog;;;
CHENRES19DEL01 ;conditions Cloudy;;;
SURRES07DEL01 ;conditions Windy;;;
PUNERES19DEL01 ;conditions Sandstorms;;;
INDORES15DEL03 ;conditions Windy;;;
MUMRES01DEL01 ;conditions Windy;;;
INDORES17DEL03 ;conditions Windy;;;
MUMRES13DEL02 ;conditions Stormy;;;
SURRES18DEL02 ;conditions Sandstorms;;;
JAPRES14DEL01 ;conditions Sandstorms;;;
RANCHIRES010DEL02 ;conditions Windy;;;
CHENRES09DEL01 ;conditions Windy;;;
BANGRES13DEL02 ;conditions NaN;;;
RANCHIRES01DEL01 ;conditions Cloudy;;;
PUNERES12DEL01 ;conditions Sunny;;;
INDORES07DEL03 ;conditions Windy;;;
INDORES19DEL02 ;conditions Windy;;;
VADRES04DEL03 ;conditions Stormy;;;
BANGRES20DEL01 ;conditions Sunny;;;
MYSRES02DEL02 ;conditions Sunny;;;
SURRES05DEL01 ;conditions Cloudy;;;
BANGRES13DEL02 ;conditions Cloudy;;;
SURRES010DEL01 ;conditions Sunny;;;
ALHRES09DEL01 ;conditions Sunny;;;
HYDRES18DEL02 ;conditions Cloudy;;;
KOLRES03DEL02 ;conditions Stormy;;;
RANCHIRES16DEL01 ;conditions Sunny;;;
PUNERES12DEL01 ;conditions Stormy;;;
BANGRES16DEL03 ;conditions Windy;;;
RANCHIRES01DEL03 ;conditions Fog;;;
RANCHIRES01DEL02 ;conditions Stormy;;;
PUNERES06DEL01 ;conditions Stormy;;;
CHENRES15DEL01 ;conditions Cloudy;;;
JAPRES010DEL03 ;conditions Windy;;;
MYSRES15DEL02 ;conditions Sandstorms;;;
COIMBRES19DEL01 ;conditions Windy;;;
COIMBRES09DEL03 ;conditions Sandstorms;;;
SURRES19DEL02 ;conditions Cloudy;;;
BANGRES20DEL03 ;conditions Sunny;;;
CHENRES16DEL03 ;conditions Windy;;;
RANCHIRES12DEL03 ;conditions Fog;;;
HYDRES11DEL03 ;conditions Stormy;;;
DEHRES19DEL01 ;conditions Sandstorms;;;
MUMRES15DEL01 ;conditions Stormy;;;
RANCHIRES18DEL03 ;conditions Sandstorms;;;
VADRES07DEL01 ;conditions Sandstorms;;;
PUNERES17DEL03 ;conditions Stormy;;;
JAPRES07DEL03 ;conditions Windy;;;
INDORES07DEL01 ;conditions Cloudy;;;
VADRES01DEL01 ;conditions Sunny;;;
VADRES18DEL01 ;conditions Sunny;;;
MUMRES07DEL01 ;conditions Cloudy;;;
AURGRES03DEL01 ;conditions Windy;;;
CHENRES17DEL01 ;conditions Windy;;;
JAPRES20DEL03 ;conditions Fog;;;
KOCRES14DEL02 ;conditions Stormy;;;
COIMBRES09DEL02 ;conditions Stormy;;;
CHENRES08DEL03 ;conditions Stormy;;;
MUMRES08DEL01 ;conditions Sunny;;;
INDORES010DEL03 ;conditions Cloudy;;;
RANCHIRES03DEL02 ;conditions Sunny;;;
SURRES04DEL03 ;conditions Windy;;;
BANGRES16DEL01 ;conditions Sandstorms;;;
CHENRES14DEL01 ;conditions Windy;;;
CHENRES03DEL01 ;conditions Stormy;;;
VADRES09DEL02 ;conditions Sandstorms;;;
SURRES12DEL02 ;conditions Cloudy;;;
VADRES04DEL01 ;conditions Windy;;;
PUNERES11DEL03 ;conditions Sandstorms;;;
RANCHIRES18DEL02 ;conditions Windy;;;
COIMBRES14DEL02 ;conditions Cloudy;;;
SURRES19DEL02 ;conditions Windy;;;
BANGRES15DEL01 ;conditions Windy;;;
SURRES09DEL01 ;conditions Cloudy;;;
GOARES17DEL01 ;conditions Sandstorms;;;
JAPRES19DEL02 ;conditions Stormy;;;
KOLRES18DEL01 ;conditions Windy;;;
SURRES07DEL02 ;conditions Windy;;;
INDORES12DEL01 ;conditions Cloudy;;;
LUDHRES16DEL01 ;conditions Windy;;;
RANCHIRES06DEL03 ;conditions Sandstorms;;;
COIMBRES16DEL02 ;conditions Stormy;;;
DEHRES13DEL02 ;conditions NaN;;;
MYSRES06DEL03 ;conditions Stormy;;;
MUMRES16DEL01 ;conditions Cloudy;;;
PUNERES19DEL02 ;conditions Windy;;;
BANGRES08DEL01 ;conditions Windy;;;
BANGRES010DEL03 ;conditions Sunny;;;
MYSRES20DEL01 ;conditions NaN;;;
AGRRES01DEL02 ;conditions Cloudy;;;
MYSRES18DEL01 ;conditions Stormy;;;
CHENRES010DEL01 ;conditions Windy;;;
COIMBRES20DEL02 ;conditions Sandstorms;;;
HYDRES16DEL01 ;conditions Windy;;;
COIMBRES14DEL03 ;conditions Windy;;;
CHENRES11DEL03 ;conditions Fog;;;
CHENRES010DEL02 ;conditions Windy;;;
SURRES16DEL01 ;conditions Cloudy;;;
MUMRES07DEL02 ;conditions Fog;;;
ALHRES11DEL01 ;conditions Sandstorms;;;
RANCHIRES01DEL03 ;conditions Sunny;;;
DEHRES07DEL02 ;conditions Fog;;;
INDORES08DEL03 ;conditions Stormy;;;
HYDRES01DEL01 ;conditions Sunny;;;
ALHRES11DEL02 ;conditions Cloudy;;;
PUNERES13DEL03 ;conditions Fog;;;
BANGRES20DEL02 ;conditions Sandstorms;;;
BANGRES08DEL02 ;conditions Cloudy;;;
KOCRES20DEL01 ;conditions Cloudy;;;
CHENRES16DEL03 ;conditions Fog;;;
HYDRES04DEL02 ;conditions Fog;;;
BANGRES01DEL01 ;conditions Cloudy;;;
COIMBRES12DEL02 ;conditions Stormy;;;
LUDHRES07DEL02 ;conditions Sunny;;;
PUNERES010DEL01 ;conditions Cloudy;;;
COIMBRES19DEL02 ;conditions Sunny;;;
VADRES010DEL02 ;conditions Fog;;;
BANGRES14DEL02 ;conditions Stormy;;;
COIMBRES05DEL03 ;conditions Fog;;;
AURGRES07DEL02 ;conditions Cloudy;;;
KOCRES11DEL01 ;conditions Stormy;;;
MYSRES17DEL01 ;conditions Fog;;;
HYDRES13DEL02 ;conditions Cloudy;;;
JAPRES14DEL03 ;conditions Windy;;;
AURGRES20DEL01 ;conditions Cloudy;;;
COIMBRES13DEL01 ;conditions Fog;;;
VADRES07DEL02 ;conditions Windy;;;
CHENRES08DEL02 ;conditions Stormy;;;
MYSRES15DEL01 ;conditions Sandstorms;;;
SURRES03DEL01 ;conditions Cloudy;;;
VADRES01DEL01 ;conditions Windy;;;
AURGRES05DEL02 ;conditions Sandstorms;;;
JAPRES17DEL02 ;conditions Windy;;;
VADRES13DEL01 ;conditions Windy;;;
RANCHIRES04DEL03 ;conditions Windy;;;
KOLRES14DEL02 ;conditions Stormy;;;
KOLRES04DEL03 ;conditions Stormy;;;
VADRES14DEL01 ;conditions Windy;;;
LUDHRES06DEL02 ;conditions Stormy;;;
HYDRES010DEL01 ;conditions Fog;;;
ALHRES08DEL03 ;conditions Sandstorms;;;
PUNERES07DEL01 ;conditions Stormy;;;
JAPRES20DEL01 ;conditions Stormy;;;
CHENRES14DEL03 ;conditions Cloudy;;;
MUMRES14DEL03 ;conditions Sandstorms;;;
DEHRES04DEL03 ;conditions Sunny;;;
AURGRES03DEL03 ;conditions Sandstorms;;;
CHENRES05DEL02 ;conditions Sandstorms;;;
MYSRES15DEL02 ;conditions Windy;;;
VADRES16DEL01 ;conditions Windy;;;
INDORES05DEL02 ;conditions Windy;;;
INDORES02DEL03 ;conditions Stormy;;;
ALHRES17DEL03 ;conditions Sandstorms;;;
BANGRES08DEL03 ;conditions NaN;;;
COIMBRES20DEL03 ;conditions Sandstorms;;;
AURGRES03DEL02 ;conditions Sandstorms;;;
VADRES14DEL03 ;conditions Fog;;;
RANCHIRES04DEL02 ;conditions Stormy;;;
SURRES04DEL01 ;conditions Cloudy;;;
VADRES18DEL02 ;conditions Sunny;;;
COIMBRES13DEL01 ;conditions Stormy;;;
BANGRES20DEL01 ;conditions Sandstorms;;;
SURRES19DEL03 ;conditions Fog;;;
HYDRES07DEL01 ;conditions Fog;;;
RANCHIRES14DEL01 ;conditions Windy;;;
SURRES13DEL02 ;conditions Windy;;;
INDORES15DEL02 ;conditions Windy;;;
SURRES11DEL01 ;conditions Stormy;;;
COIMBRES12DEL03 ;conditions Stormy;;;
SURRES03DEL02 ;conditions Sandstorms;;;
SURRES14DEL03 ;conditions Cloudy;;;
CHENRES02DEL02 ;conditions Stormy;;;
JAPRES13DEL01 ;conditions Stormy;;;
COIMBRES09DEL03 ;conditions Stormy;;;
AGRRES07DEL02 ;conditions Windy;;;
INDORES08DEL02 ;conditions Sunny;;;
MYSRES11DEL02 ;conditions Windy;;;
PUNERES04DEL03 ;conditions Sandstorms;;;
MYSRES07DEL03 ;conditions NaN;;;
AGRRES02DEL03 ;conditions Sandstorms;;;
VADRES06DEL03 ;conditions Cloudy;;;
JAPRES05DEL01 ;conditions Fog;;;
BANGRES15DEL02 ;conditions Cloudy;;;
HYDRES03DEL02 ;conditions Cloudy;;;
HYDRES15DEL02 ;conditions Sunny;;;
KOLRES03DEL03 ;conditions Sandstorms;;;
PUNERES11DEL02 ;conditions Sandstorms;;;
AGRRES11DEL02 ;conditions Windy;;;
INDORES01DEL02 ;conditions Windy;;;
COIMBRES17DEL02 ;conditions Stormy;;;
JAPRES08DEL03 ;conditions Sunny;;;
RANCHIRES03DEL02 ;conditions Cloudy;;;
HYDRES16DEL03 ;conditions Fog;;;
INDORES05DEL02 ;conditions Sunny;;;
VADRES12DEL02 ;conditions Stormy;;;
PUNERES01DEL03 ;conditions Sandstorms;;;
RANCHIRES14DEL02 ;conditions Cloudy;;;
AURGRES05DEL02 ;conditions Fog;;;
PUNERES18DEL03 ;conditions Stormy;;;
COIMBRES010DEL01 ;conditions Windy;;;
JAPRES02DEL01 ;conditions Stormy;;;
MUMRES20DEL02 ;conditions Cloudy;;;
BANGRES12DEL01 ;conditions Windy;;;
RANCHIRES01DEL03 ;conditions Windy;;;
BANGRES08DEL01 ;conditions Sandstorms;;;
DEHRES08DEL03 ;conditions Fog;;;
JAPRES20DEL02 ;conditions Windy;;;
MYSRES19DEL03 ;conditions Fog;;;
BHPRES03DEL02 ;conditions Sunny;;;
JAPRES20DEL02 ;conditions Cloudy;;;
MYSRES17DEL01 ;conditions Cloudy;;;
RANCHIRES11DEL02 ;conditions Sunny;;;
COIMBRES15DEL01 ;conditions Cloudy;;;
BANGRES09DEL01 ;conditions Sandstorms;;;
SURRES04DEL01 ;conditions Sunny;;;
MYSRES01DEL02 ;conditions Stormy;;;
BANGRES16DEL01 ;conditions Fog;;;
MYSRES19DEL02 ;conditions Sunny;;;
MYSRES11DEL02 ;conditions Cloudy;;;
RANCHIRES16DEL02 ;conditions Cloudy;;;
JAPRES07DEL02 ;conditions Cloudy;;;
HYDRES02DEL03 ;conditions Fog;;;
MYSRES16DEL01 ;conditions Cloudy;;;
CHENRES02DEL02 ;conditions Windy;;;
SURRES18DEL01 ;conditions Windy;;;
BANGRES02DEL02 ;conditions Sandstorms;;;
INDORES04DEL02 ;conditions Fog;;;
COIMBRES13DEL03 ;conditions Fog;;;
PUNERES15DEL01 ;conditions Cloudy;;;
BANGRES010DEL01 ;conditions Sunny;;;
MUMRES16DEL01 ;conditions Sunny;;;
MYSRES14DEL03 ;conditions Sandstorms;;;
VADRES14DEL02 ;conditions Sunny;;;
HYDRES13DEL01 ;conditions Sunny;;;
BANGRES03DEL02 ;conditions Fog;;;
RANCHIRES01DEL01 ;conditions NaN;;;
BANGRES010DEL02 ;conditions Sandstorms;;;
INDORES07DEL01 ;conditions Windy;;;
COIMBRES03DEL02 ;conditions Sunny;;;
JAPRES16DEL01 ;conditions Stormy;;;
VADRES06DEL03 ;conditions Sandstorms;;;
MYSRES13DEL01 ;conditions Sandstorms;;;
ALHRES11DEL03 ;conditions Sunny;;;
PUNERES14DEL01 ;conditions Sunny;;;
INDORES11DEL01 ;conditions Windy;;;
BANGRES02DEL02 ;conditions Stormy;;;
RANCHIRES16DEL01 ;conditions Fog;;;
BHPRES15DEL03 ;conditions Fog;;;
MUMRES19DEL03 ;conditions Fog;;;
RANCHIRES14DEL01 ;conditions NaN;;;
